Vertex :,10,Edge :,28
Vertex Information
209,222
926,169
704,480
441,220
386,566
298,882
0,20
496,716
16,754
203,894
Edge Information
4,0,637.7431079921425
0,1,316.11179820438866
1,2,21.460088733757757
2,3,485.63261048898005
3,4,166.24740075337388
4,5,15.192799312656806
5,6,206.45825605884022
6,7,954.554003778563
7,8,229.65529916295193
8,9,334.6600072377324
9,7,540.0721160507306
7,1,464.8615326996703
1,0,798.2008421636649
0,8,209.97708048755524
8,5,374.8380380688031
5,4,64.40212903657715
4,0,114.79615395041922
0,2,987.2702435922807
2,3,703.0396547342609
3,8,571.1487212103208
8,5,218.43578057826795
5,6,551.0379487935581
6,9,1302.0493905103165
9,2,792.1500010000875
2,1,668.1117253233909
1,9,290.146068911429
9,4,197.09588714308865
4,7,190.9128045170933
start Vertex :,0, end Vertex :,7
