Vertex:,22500,Edge:,177312
Vertex Information
7,45
1,0
73,201
62,25
77,138
8,156
49,161
75,54
32,211
57,83
76,78
39,85
94,160
25,113
6,119
72,84
96,42
20,185
18,0
15,218
95,166
10,56
71,97
76,120
48,88
25,0
74,86
47,142
75,16
25,43
25,70
10,124
59,101
92,112
47,36
17,53
28,159
14,58
64,174
76,83
15,128
15,212
82,90
14,108
17,152
40,71
14,224
20,188
27,77
49,0
68,211
32,59
52,0
56,16
17,143
14,148
48,112
29,77
31,41
54,63
85,107
61,0
0,165
32,63
6,187
55,76
54,61
11,178
76,183
36,163
66,88
29,164
64,221
30,19
84,29
63,163
33,171
69,222
77,152
1,53
36,150
83,184
65,138
39,71
39,99
86,9
19,214
21,138
79,190
0,61
2,114
91,134
30,55
12,125
80,17
54,221
55,75
40,5
98,0
61,43
7,155
36,96
79,25
56,166
26,68
20,134
48,37
58,156
43,46
44,4
68,5
18,156
56,136
13,170
71,80
12,58
52,46
53,143
57,215
30,136
87,101
66,54
88,206
93,115
32,12
87,215
9,213
60,196
38,45
70,142
58,82
91,182
79,157
65,91
93,190
35,1
62,83
39,57
23,65
99,70
20,210
41,188
93,223
4,126
31,171
3,163
8,64
18,210
36,168
37,121
14,175
27,35
53,56
66,111
12,72
45,111
72,112
89,183
84,23
57,183
95,68
19,136
57,17
25,197
68,18
57,117
66,1
41,143
5,138
38,68
70,1
88,99
9,24
11,8
63,138
75,1
10,179
29,96
1,149
25,134
56,80
48,87
62,140
93,91
37,135
91,169
92,118
81,59
87,27
60,212
4,35
38,116
92,1
70,129
42,23
61,110
49,89
97,1
92,98
5,178
52,197
17,114
25,162
20,139
20,184
28,97
92,17
76,17
83,45
4,162
73,84
43,29
13,53
37,200
52,189
74,81
85,34
63,89
29,47
83,90
19,67
54,120
24,110
51,200
65,123
27,31
33,154
42,19
46,220
92,150
87,142
83,43
1,96
13,96
34,2
38,2
34,199
94,40
18,60
21,98
77,200
8,101
42,2
87,35
27,207
13,136
11,118
82,190
14,91
9,78
14,150
85,61
78,149
76,184
41,93
51,192
44,119
62,199
72,147
46,10
91,180
13,35
73,88
35,16
59,86
49,83
37,31
18,92
98,33
69,2
55,84
95,20
18,175
82,194
76,52
85,38
23,190
19,18
12,208
39,144
82,77
47,103
82,2
95,12
29,45
42,38
90,49
73,127
31,204
96,13
19,36
65,124
16,82
30,33
9,41
86,218
58,17
70,56
13,80
53,93
61,142
66,62
39,200
94,55
1,202
97,59
69,109
29,220
99,214
86,215
48,27
82,73
94,87
4,187
1,4
91,11
74,160
17,89
7,128
76,148
60,42
97,151
40,220
0,111
77,123
58,199
95,175
46,12
55,36
10,102
25,177
88,46
46,61
29,190
76,96
1,207
66,152
16,167
58,143
44,189
30,183
61,85
53,1
59,134
97,58
33,75
36,175
87,138
45,143
58,29
22,186
12,88
77,117
29,217
24,149
78,206
35,31
7,207
55,96
12,41
20,224
99,218
21,66
94,110
58,207
78,132
66,3
87,141
30,37
82,212
14,54
15,98
51,194
38,134
95,78
83,98
81,26
8,43
78,3
62,67
80,3
82,13
11,98
16,152
84,3
39,77
76,98
5,194
74,185,,
26,221,,
14,114,,
76,59,,
94,220,,
38,66,,
69,111,,
96,68,,
86,101,,
40,110,,
60,31,,
24,2,,
61,97,,
45,28,,
27,36,,
69,23,,
28,84,,
55,1,,
6,63,,
70,86,,
81,55,,
95,63,,
66,14,,
42,37,,
12,4,,
6,85,,
89,165,,
20,37,,
84,207,,
47,60,,
26,197,,
21,4,,
27,183,,
21,49,,
37,201,,
15,182,,
16,65,,
20,71,,
41,65,,
6,11,,
28,4,,
75,158,,
32,39,,
8,190,,
93,7,,
89,85,,
90,35,,
63,157,,
70,106,,
21,108,,
30,182,,
37,134,,
90,138,,
94,43,,
80,73,,
94,16,,
83,189,,
18,7,,
17,113,,
75,34,,
9,44,,
17,68,,
33,18,,
67,128,,
96,51,,
95,180,,
82,50,,
45,95,,
67,125,,
49,116,,
70,202,,
63,71,,
99,53,,
64,98,,
68,123,,
31,200,,
17,162,,
